[26/10/2024, 11:53:52 pm]:[INFO] - [wm] already signed in?,false
[27/10/2024, 5:13:14 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,setThemePreference
[27/10/2024, 5:13:14 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[27/10/2024, 5:13:14 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTabPreviewData
[27/10/2024, 5:13:14 pm]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[27/10/2024, 5:13:14 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,setLocales
[27/10/2024, 5:13:14 pm]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[27/10/2024, 5:13:14 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,setEditorType
[27/10/2024, 5:13:14 pm]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[27/10/2024, 5:13:14 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,getKeyboardLayout
[27/10/2024, 5:13:14 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,spellingGetLanguages
[27/10/2024, 5:13:14 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,setRealtimeToken
[27/10/2024, 5:13:16 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,setRealtimeToken
[27/10/2024, 5:13:16 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
[27/10/2024, 5:13:16 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTabColor
[27/10/2024, 5:13:16 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,setIsLibrary
[27/10/2024, 5:13:16 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,setIsTeamTemplate
[27/10/2024, 5:13:16 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
[27/10/2024, 5:13:16 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,getKeyboardLayout
[27/10/2024, 5:13:16 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
[27/10/2024, 5:13:16 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,getActiveNSScreens
[27/10/2024, 5:13:17 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTabPreviewData
[27/10/2024, 5:13:18 pm]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTabColor
[27/10/2024, 5:13:22 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setThemePreference
[27/10/2024, 5:13:23 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[27/10/2024, 5:13:23 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTabPreviewData
[27/10/2024, 5:13:24 pm]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[27/10/2024, 5:13:24 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setLocales
[27/10/2024, 5:13:24 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setEditorType
[27/10/2024, 5:13:24 pm]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[27/10/2024, 5:13:24 pm]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[27/10/2024, 5:13:24 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,getKeyboardLayout
[27/10/2024, 5:13:24 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,spellingGetLanguages
[27/10/2024, 5:13:24 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setRealtimeToken
[27/10/2024, 5:13:24 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setRealtimeToken
[27/10/2024, 5:13:25 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,getActiveNSScreens
[27/10/2024, 5:13:25 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTabColor
[27/10/2024, 5:13:25 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setIsLibrary
[27/10/2024, 5:13:25 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setIsTeamTemplate
[27/10/2024, 5:13:25 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,getActiveNSScreens
[27/10/2024, 5:13:25 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,getActiveNSScreens
[27/10/2024, 5:13:25 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,getKeyboardLayout
[27/10/2024, 5:13:26 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,getActiveNSScreens
[27/10/2024, 5:13:27 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTabPreviewData
[27/10/2024, 5:13:28 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:13:30 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTabColor
[27/10/2024, 5:13:37 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:13:48 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setThemePreference
[27/10/2024, 5:13:54 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setThemePreference
[27/10/2024, 5:14:02 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:14:06 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:14:09 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:14:10 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:14:29 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:29 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:29 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:30 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:30 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:30 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:30 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:30 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:30 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:30 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:30 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:31 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:31 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:31 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:31 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:31 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:31 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:31 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:32 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:32 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:32 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:32 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:32 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:32 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:33 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:33 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:33 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:33 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:33 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,triggerHaptic
[27/10/2024, 5:14:36 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,spellingGetLanguages
[27/10/2024, 5:14:58 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:19 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:21 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:24 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:28 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:32 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:35 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:37 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:46 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:53 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:54 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:57 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:15:58 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:04 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:09 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:13 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:15 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:19 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:20 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:23 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:33 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:35 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:40 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:43 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:16:50 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:17:07 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:17:14 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:17:18 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:17:23 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:17:31 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:21:54 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTabPreviewData
[27/10/2024, 5:21:54 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTabPreviewData
[27/10/2024, 5:22:18 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:22:20 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:22:53 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
[27/10/2024, 5:22:54 pm]:[WARN] - [From web content: 10],[desktop] Unhandled message,updateViewport
